description,type,protein_100g,carbs_100g,fat_100g
"pork, fresh, loin, top loin (chops), boneless, separable lean and fat, cooked, braised",protein,29.2,0.0,8.31
"pork, fresh, loin, top loin (chops), boneless, separable lean only, cooked, braised",protein,30.5,0.0,4.34
"pork, fresh, loin, tenderloin, separable lean and fat, raw",protein,20.6,0.0,3.53
"pork, fresh, loin, tenderloin, separable lean only, raw",protein,21.0,0.0,2.17
"pork, fresh, loin, center loin (chops), bone-in, separable lean and fat, cooked, pan-fried",protein,27.6,0.0,13.3
"pork, fresh, loin, center loin (chops), bone-in, separable lean only, cooked, pan-fried",protein,29.6,0.0,7.66
"pork, fresh, loin, top loin (chops), boneless, separable lean and fat, cooked, pan-fried",protein,29.4,0.0,7.86
"pork, fresh, loin, top loin (chops), boneless, separable lean and fat, with added solution, raw",protein,19.4,0.0,10.3
"pork, fresh, loin, top loin (chops), boneless, separable lean only, cooked, pan-fried",protein,30.5,0.0,4.62
"pork, fresh, loin, top loin (chops), boneless, separable lean only, with added solution, raw",protein,21.1,0.22,3.48
"pork loin, fresh, backribs, bone-in, raw, lean only",protein,20.8,0.0,9.84
"pork, fresh, loin, whole, separable lean and fat, raw",protein,19.7,0.0,12.6
"pork, fresh, loin, whole, separable lean only, raw",protein,21.4,0.0,5.66
"pork, fresh, loin, tenderloin, separable lean only, cooked, roasted",protein,26.2,0.0,3.51
"pork, fresh, loin, tenderloin, separable lean and fat, cooked, roasted",protein,26.0,0.0,3.96
"hormel always tender, pork loin filets, lemon garlic-flavored",protein,17.8,1.79,4.16
"pork loin, fresh, backribs, bone-in, cooked-roasted, lean only",protein,24.2,0.0,17.6
"pork, fresh, enhanced, loin, tenderloin, separable lean only, raw",protein,20.4,0.0,2.09
"pork, fresh, loin, whole, separable lean and fat, cooked, braised",protein,27.2,0.0,13.6
"pork, fresh, loin, whole, separable lean and fat, cooked, roasted",protein,27.1,0.0,14.6
"pork, fresh, loin, whole, separable lean only, cooked, braised",protein,28.6,0.0,9.12
"pork, fresh, loin, whole, separable lean only, cooked, roasted",protein,28.6,0.0,9.63
"pork, fresh, loin, country-style ribs, separable lean and fat, raw",protein,19.3,0.0,11.8
"pork, fresh, loin, country-style ribs, separable lean only, raw",protein,20.8,0.0,5.64
"pork, fresh, loin, tenderloin, separable lean and fat, with added solution, raw",protein,20.2,0.0,3.14
"pork, fresh, loin, sirloin (chops or roasts), bone-in, separable lean and fat, raw",protein,20.5,0.0,8.96
"pork, fresh, loin, sirloin (chops or roasts), bone-in, separable lean only, raw",protein,21.6,0.0,4.02
"pork, fresh, loin, sirloin (roasts), bone-in, separable lean and fat, cooked, roasted",protein,26.6,0.0,12.9
"pork, fresh, loin, sirloin (roasts), bone-in, separable lean only, cooked, roasted",protein,27.8,0.0,9.44
"pork, fresh, loin, blade (chops or roasts), bone-in, separable lean and fat, raw",protein,19.6,0.0,12.3
"pork, fresh, loin, blade (chops or roasts), bone-in, separable lean only, raw",protein,21.2,0.0,5.84
"pork, fresh, loin, blade (chops or roasts), boneless, separable lean only, raw",protein,21.4,0.82,3.78
"pork, fresh, loin, blade (chops), bone-in, separable lean and fat, cooked, braised",protein,26.5,0.0,15.7
"pork, fresh, loin, blade (chops), bone-in, separable lean only, cooked, braised",protein,28.0,0.0,11.3
"pork, fresh, loin, blade (roasts), bone-in, separable lean and fat, cooked, roasted",protein,24.3,0.0,16.7
"pork, fresh, loin, blade (roasts), bone-in, separable lean only, cooked, roasted",protein,25.7,0.0,11.9
"pork, fresh, loin, blade (roasts), boneless, separable lean and fat, cooked, roasted",protein,26.5,0.0,10.3
"pork, fresh, loin, blade (roasts), boneless, separable lean only, cooked, roasted",protein,27.6,0.0,7.14
"pork, fresh, loin, country-style ribs, separable lean and fat, cooked, braised",protein,26.5,0.0,17.7
"pork, fresh, loin, country-style ribs, separable lean only, cooked, braised",protein,27.7,0.0,14.3
"pork, fresh, loin, sirloin (chops or roasts), boneless, separable lean and fat, raw",protein,22.5,0.0,4.05
"pork, fresh, loin, sirloin (chops or roasts), boneless, separable lean only, raw",protein,22.8,0.0,2.59
"tofu, fried",protein,18.8,8.86,20.2
"tofu in sunrice sauce, tofu",protein,18.6,11.5,9.73
"tofu yu, teriyaki tofu sushi",protein,15.5,7.96,10.2
baked tofu,protein,15.3,5.88,8.24
organic tofu,protein,15.4,2.2,7.69
tempeh,protein,20.3,7.64,10.8
original tempeh,protein,21.4,14.3,5.36
"flax tempeh, flax",protein,21.4,9.52,9.52
"original tempeh, original",protein,23.5,12.9,9.41
organic garden veggie tempeh,protein,19.0,11.9,7.14
"original organic tempeh, original",protein,22.7,13.3,9.33
tempeh buffalo precut strips,protein,18.2,13.1,7.07
"buffalo tempeh precut strips, buffalo",protein,18.2,13.1,7.07
"organic original vegan tempeh, original",protein,21.0,11.8,9.21
"smoky bacon tempeh, smoky bacon",protein,15.8,13.2,6.58
"three grain tempeh, three grain",protein,22.6,13.1,9.52
organic veggie bacon,protein,15.8,13.2,5.26
"greek salad, no dressing",vegetable,2.75,4.35,2.26
"broccoli, raw",vegetable,2.57,6.27,0.34
"broccoli raab, raw",vegetable,3.17,2.85,0.49
"broccoli, chinese, raw",vegetable,1.2,4.67,0.76
"broccoli, leaves, raw",vegetable,2.98,5.06,0.35
"broccoli, stalks, raw",vegetable,2.98,5.24,0.35
"broccoli, cooked, from restaurant",vegetable,2.55,6.2,4.66
"broccoli, ns as to form, cooked",vegetable,2.6,6.33,3.0
"broccoli, flower clusters, raw",vegetable,2.98,5.06,0.35
"broccoli, fresh, cooked, no added fat",vegetable,2.67,6.51,0.35
"broccoli, frozen, cooked, no added fat",vegetable,3.09,5.33,0.12
"broccoli and cauliflower, cooked, fat added",vegetable,2.29,4.41,2.71
"broccoli and cauliflower, cooked, no added fat",vegetable,2.35,4.54,0.17
"broccoli, cauliflower and carrots, cooked, fat added",vegetable,1.72,5.43,2.9
"broccoli, cauliflower and carrots, cooked, no added fat",vegetable,1.76,5.59,0.34
"broccoli, fresh, cooked, fat added, ns as to fat type",vegetable,2.6,6.33,3.0
"broccoli, frozen, cooked, fat added, ns as to fat type",vegetable,3.01,5.18,2.66
"spinach, raw",vegetable,2.85,2.41,0.62
"malabar spinach, cooked",vegetable,2.98,2.71,0.78
"spinach, cooked, as ingredient",vegetable,3.42,3.11,0.71
"spinach, ns as to form, cooked",vegetable,3.32,3.01,3.68
"mustard spinach, (tendergreen), raw",vegetable,2.2,3.9,0.3
"new zealand spinach, raw",vegetable,1.5,2.5,0.2
"spinach, canned, cooked, no added fat",vegetable,2.81,3.4,0.5
"spinach, fresh, cooked, no added fat",vegetable,3.41,3.1,0.7
"spinach, frozen, cooked, no added fat",vegetable,4.0,4.79,0.87
"babyfood, vegetables, spinach, creamed, strained",vegetable,2.5,5.7,1.3
"spinach, canned, no salt added, solids and liquids",vegetable,2.11,2.92,0.37
"spinach, canned, regular pack, drained solids",vegetable,2.81,3.4,0.5
"spinach, canned, regular pack, solids and liquids",vegetable,2.11,2.92,0.37
kale,vegetable,4.71,8.24,1.18
"kale, raw",vegetable,2.92,4.42,1.49
"kale, ns as to form, cooked",vegetable,3.05,4.61,4.29
"kale, fresh, cooked, fat added",vegetable,3.05,4.61,4.29
"kale, fresh, cooked, no added fat",vegetable,3.13,4.74,1.6
"kale, frozen, cooked, fat added",vegetable,2.85,5.14,3.72
"kale, frozen, cooked, no added fat",vegetable,2.93,5.28,1.21
"tomato & kale bisque, tomato & kale",vegetable,1.32,7.49,3.08
"kale blazer kale flavored blend of 8 juices, kale blazer",vegetable,1.25,8.75,0.0
"rainbow kale organic a blend of green, red & lacinato kale, rainbow kale",vegetable,3.53,8.24,0.0
"organic kale & chard blend, kale & chard",vegetable,3.53,5.88,0.0
baby kale,vegetable,4.71,8.24,1.18
chopped kale,vegetable,2.35,4.71,0.0
kale greens,vegetable,4.71,8.24,1.18
kale sprouts,vegetable,3.53,3.53,0.59
organic kale,vegetable,4.71,8.24,1.18
"carrots, raw",vegetable,0.87,9.68,0.24
"babyfood, carrots, toddler",vegetable,0.6,5.23,0.3
"carrot juice, 100%",vegetable,0.95,9.28,0.15
"carrot juice, canned",vegetable,0.95,9.28,0.15
"carrots, baby, raw",vegetable,0.64,8.24,0.13
"carrots, cooked, from restaurant",vegetable,0.94,10.15,4.67
"carrots, ns as to form, cooked",vegetable,0.96,10.36,3.0
"babyfood, juice, orange-carrot",vegetable,0.5,9.9,0.1
"babyfood, vegetables, carrots, junior",vegetable,0.8,7.2,0.2
"babyfood, vegetables, carrots, strained",vegetable,0.8,6.0,0.1
"carrots, canned, cooked, no added fat",vegetable,0.64,5.54,0.19
"carrots, fresh, cooked, no added fat",vegetable,0.98,10.67,0.36
"carrots, frozen, cooked, no added fat",vegetable,0.81,7.9,0.47
"baby toddler carrots, stage 1",vegetable,0.8,6.0,0.1
"baby toddler carrots, stage 2",vegetable,0.8,7.2,0.2
"peas and carrots, cooked, ns as to form",vegetable,3.22,12.47,3.03
"smart soup, vietnamese carrot lemongrass",vegetable,1.3,8.2,1.06
"carrots, canned, no salt added, drained solids",vegetable,0.64,5.54,0.19
"carrots, canned, no salt added, solids and liquids",vegetable,0.59,5.36,0.14
"carrots, canned, regular pack, drained solids",vegetable,0.64,5.54,0.19
"carrots, canned, regular pack, solids and liquids",vegetable,0.58,5.37,0.14
"peas and carrots, canned, cooked, fat added",vegetable,2.49,8.21,3.03
"peas and carrots, canned, cooked, no added fat",vegetable,2.56,8.45,0.5
"peas and carrots, fresh, cooked, fat added",vegetable,3.22,12.47,3.03
"peas and carrots, fresh, cooked, no added fat",vegetable,3.3,12.84,0.39
"peas and carrots, frozen, cooked, fat added",vegetable,2.89,10.74,2.9
"peas and carrots, frozen, cooked, no added fat",vegetable,2.97,11.06,0.37
"carrots, canned, reduced sodium, cooked, no added fat",vegetable,0.59,5.36,0.14
"peas and carrots, canned, no salt added, solids and liquids",vegetable,2.17,8.48,0.27
"peas and carrots, canned, regular pack, solids and liquids",vegetable,2.17,8.48,0.27
"carrots, canned, cooked, fat added, ns as to fat type",vegetable,0.63,5.38,2.74
"carrots, fresh, cooked, fat added, ns as to fat type",vegetable,0.96,10.36,3.0
"carrots, frozen, cooked, fat added, ns as to fat type",vegetable,0.79,7.67,3.0
"babyfood, gerber, 2nd foods, apple, carrot and squash, organic",vegetable,1.1,14.8,0.0
bell peppers,vegetable,1.18,4.71,0.0
"peppers, jalapenos",vegetable,0.86,5.53,0.38
"peppers, hot, raw",vegetable,1.39,7.66,0.4
"peppers, hot, cooked",vegetable,1.41,7.72,3.06
"peppers, red, cooked",vegetable,0.92,6.71,2.78
"peppers, banana, raw",vegetable,1.66,5.35,0.45
hot pepper sauce,vegetable,1.29,0.8,0.76
"pepper, banana, raw",vegetable,1.66,5.35,0.45
"peppers, green, cooked",vegetable,0.74,4.83,2.76
"peppers, hot, pickled",vegetable,0.8,4.56,0.4
"peppers, hungarian, raw",vegetable,0.8,6.7,0.41
"peppers, jalapeno, raw",vegetable,0.91,6.5,0.37
"peppers, raw, nfs",vegetable,0.81,5.72,0.12
"peppers, serrano, raw",vegetable,1.74,6.7,0.44
"peppers, sweet, pickled",vegetable,0.67,9.6,0.12
"soft drink, pepper type",vegetable,0.0,10.36,0.25
"3 pepper & onion green bell peppers, red bell peppers, yellow bell peppers blend, 3 pepper & onion",vegetable,1.19,5.95,0.0
baby bell peppers,vegetable,1.18,7.06,0.0
green bell peppers,vegetable,0.0,4.05,0.0
rainbow bell peppers,vegetable,0.68,4.05,0.0
roasted bell peppers,vegetable,1.33,6.67,0.0
sliced bell peppers,vegetable,0.88,6.17,0.0
sweet bell peppers,vegetable,1.18,5.88,0.0
"bell pepper salsa breakfast seasoning, bell pepper salsa",vegetable,0.0,0.0,0.0
"mushroom bell pepper tomato sauce, mushroom bell pepper",vegetable,0.88,5.31,2.21
"green pepper, cooked, as ingredient",vegetable,0.77,5.14,0.12
"peppered loaf, pork, beef",protein,17.3,4.53,6.37
"peppers, chili, green, canned",vegetable,0.72,4.6,0.27
"peppers, hot pickled, canned",vegetable,0.8,4.56,0.4
"peppers, sweet, green, raw",vegetable,0.72,4.78,0.11
"peppers, sweet, red, raw",vegetable,0.99,6.03,0.3
"onions, raw",vegetable,0.86,8.46,0.08
"onions, green, raw",vegetable,1.83,7.34,0.19
"onions, green, cooked",vegetable,2.09,8.37,3.21
"onions, pearl, cooked",vegetable,0.7,6.49,2.59
"onions, cooked, as ingredient",vegetable,1.29,10.99,0.12
"onions, red, raw",vegetable,0.94,9.93,0.1
"onions, sweet, raw",vegetable,0.8,7.55,0.08
"onions, welsh, raw",vegetable,1.9,6.5,0.4
"onions, white, raw",vegetable,0.89,7.68,0.13
"onions, yellow, raw",vegetable,0.83,8.61,0.05
"soup, french onion",vegetable,5.45,11.84,4.47
"onions, cooked, fat added",vegetable,1.26,10.64,3.11
"onions, cooked, no added fat",vegetable,1.29,10.96,0.12
"liver, beef or calves, and onions",protein,16.68,6.97,3.6
"onions, canned, solids and liquids",vegetable,0.85,4.02,0.09
"soup, onion, canned, condensed",vegetable,3.06,6.68,1.42
"onions, young green, tops only",vegetable,0.97,5.74,0.47
"peas and onions, canned, solids and liquids",vegetable,3.28,8.57,0.38
"peppers and onions, cooked, fat added",vegetable,1.04,8.14,2.66
"peppers and onions, cooked, no added fat",vegetable,1.06,8.38,0.12
"soup, cream of onion, canned, condensed",vegetable,2.2,10.4,4.2
"tomato products, canned, sauce, with onions",vegetable,1.56,9.94,0.19
"beef steak with onions, puerto rican style",protein,20.92,3.89,24.12
"onions, spring or scallions (includes tops and bulb), raw",vegetable,1.83,7.34,0.19
"tomatoes, raw",vegetable,0.82,4.04,0.31
"soup, tomato",vegetable,0.65,3.64,0.41
"tomatoes, scalloped",vegetable,2.7,14.1,4.97
"tomato products, canned, sauce, with tomato tidbits",vegetable,1.32,7.09,0.39
"tomatoes, red, ripe, canned, packed in tomato juice",vegetable,0.79,3.47,0.25
tomato juice cocktail,vegetable,0.93,3.87,0.31
"tomatoes, canned, cooked",vegetable,0.82,3.23,3.04
"tomatoes, fresh, cooked",vegetable,1.08,4.71,3.42
"soup, cream of tomato",vegetable,1.21,6.39,4.68
"soup, tomato, canned",vegetable,0.63,7.65,0.33
"tomato juice, 100%",vegetable,0.86,4.32,0.29
"tomato, green, pickled",vegetable,1.0,9.09,0.18
tomatoes as ingredient in omelet,vegetable,1.1,5.49,0.23
"tomatoes, cooked, as ingredient",vegetable,1.1,4.86,0.25
"tomatoes, crushed, canned",vegetable,1.64,7.29,0.28
"tomatoes, grape, raw",vegetable,0.83,5.51,0.63
"tomatoes, green, raw",vegetable,1.2,5.1,0.2
"tomatoes, orange, raw",vegetable,1.16,3.18,0.19
"tomatoes, yellow, raw",vegetable,0.98,2.98,0.26
beef with tomato-based sauce,protein,21.72,1.58,6.36
fish with tomato-based sauce,protein,16.28,1.59,0.69
"zucchini, pickled",vegetable,1.0,7.44,0.28
"squash, zucchini, baby, raw",vegetable,2.71,3.11,0.4
"squash, summer, zucchini, includes skin, raw",vegetable,1.21,3.11,0.32
"squash, summer, zucchini, italian style, canned",vegetable,1.03,6.85,0.11
mushroom,vegetable,1.54,1.54,0.0
"mushrooms, pickled",vegetable,2.4,8.29,0.3
"mushrooms, raw",vegetable,2.9,4.13,0.35
"soup, cream of mushroom",vegetable,2.1,5.7,4.76
beef with mushroom sauce,protein,21.97,1.83,7.54
"gravy, mushroom, canned",vegetable,1.26,5.47,2.71
"mushrooms, canned, cooked",vegetable,1.82,4.95,2.84
"mushrooms, chanterelle, raw",vegetable,1.49,6.86,0.53
"mushrooms, cooked, as ingredient",vegetable,3.62,5.16,0.43
"mushrooms, enoki, raw",vegetable,2.66,7.81,0.29
"mushrooms, maitake, raw",vegetable,1.94,6.97,0.19
"mushrooms, morel, raw",vegetable,3.12,5.1,0.57
"mushrooms, oyster, raw",vegetable,3.31,6.09,0.41
"mushrooms, portabella, grilled",vegetable,3.28,4.44,0.58
"mushrooms, portabella, raw",vegetable,2.11,3.87,0.35
"mushrooms, shiitake, raw",vegetable,2.24,6.79,0.49
"mushrooms, white, microwaved",vegetable,3.91,6.04,0.46
"mushrooms, white, raw",vegetable,3.09,3.26,0.34
chicken or turkey with mushroom sauce,protein,19.29,1.84,5.7
ham or pork with mushroom sauce,protein,20.55,1.84,7.98
"mushrooms, canned, drained solids",vegetable,1.87,5.09,0.29
"mushrooms, ns as to form, cooked",vegetable,3.52,5.0,3.6
"mushrooms, shiitake, cooked, with salt",vegetable,1.56,14.4,0.22
"mushrooms, shiitake, stir-fried",vegetable,3.45,7.68,0.35
"mushrooms, white, stir-fried",vegetable,3.58,4.04,0.33
"mushroom, asian, cooked, from dried",vegetable,2.4,8.15,0.2
"mushrooms, brown, italian, or crimini, raw",vegetable,2.5,4.3,0.1
"mushrooms, fresh, cooked, no added fat",vegetable,3.61,5.15,0.43
"mushrooms, shiitake, cooked, without salt",vegetable,1.56,14.4,0.22
"mushrooms, straw, canned, drained solids",vegetable,3.83,4.64,0.68
"tomato products, canned, sauce, with mushrooms",vegetable,1.45,8.43,0.13
"mushroom, white, exposed to ultraviolet light, raw",vegetable,3.09,3.26,0.34
"mushrooms, portabella, exposed to ultraviolet light, grilled",vegetable,3.28,4.44,0.58
"mushrooms, portabella, exposed to ultraviolet light, raw",vegetable,2.11,3.87,0.35
"cauliflower, pickled",vegetable,1.59,8.98,0.25
"cauliflower, raw",vegetable,1.92,4.97,0.28
"cauliflower, green, raw",vegetable,2.95,6.09,0.3
"cauliflower, green, cooked, with salt",vegetable,3.04,6.28,0.31
"cauliflower, ns as to form, cooked",vegetable,1.94,5.02,2.93
"cauliflower, fresh, cooked, no added fat",vegetable,1.99,5.16,0.29
"cauliflower, frozen, cooked, no added fat",vegetable,1.6,3.74,0.22
"cauliflower, green, cooked, no salt added",vegetable,3.04,6.28,0.31
"lettuce, raw",vegetable,0.92,3.69,0.1
"lettuce, boston, raw",vegetable,0.88,3.26,0.11
"lettuce, arugula, raw",vegetable,2.58,3.65,0.66
"romaine lettuce, raw",vegetable,0.98,4.06,0.07
"lettuce, cos or romaine, raw",vegetable,1.23,3.29,0.3
"lettuce, green leaf, raw",vegetable,1.36,2.87,0.15
"lettuce, red leaf, raw",vegetable,1.33,2.26,0.22
"lettuce, iceberg (includes crisphead types), raw",vegetable,0.9,2.97,0.14
"lettuce, salad with assorted vegetables including tomatoes and/or carrots, no dressing",vegetable,1.07,4.58,0.2
"lettuce, salad with assorted vegetables excluding tomatoes and carrots, no dressing",vegetable,1.19,4.09,0.19
"lettuce, salad with avocado, tomato, and/or carrots, with or without other vegetables, no dressing",vegetable,1.29,5.5,3.39
"seafood garden salad with seafood, lettuce, tomato and/or carrots, other vegetables, no dressing",vegetable,7.12,3.04,0.49
"seafood garden salad with seafood, lettuce, vegetables excluding tomato and carrots, no dressing",vegetable,7.66,2.62,0.5
cucumber salad made with cucumber and vinegar,vegetable,0.5,6.79,0.13
"cucumber, raw",vegetable,0.62,2.95,0.18
cucumber and vegetable namasu,vegetable,0.47,12.22,0.18
"cucumber, peeled, raw",vegetable,0.59,2.16,0.16
"cucumber, with peel, raw",vegetable,0.65,3.63,0.11
"pickles, cucumber, sour",vegetable,0.33,2.26,0.2
"pickles, cucumber, dill or kosher dill",vegetable,0.48,1.99,0.43
"pickles, cucumber, dill, reduced sodium",vegetable,0.5,2.41,0.3
"pickles, cucumber, sour, low sodium",vegetable,0.33,2.26,0.2
"cucumber lemonade, cucumber",vegetable,0.0,9.72,0.0
"cucumber limeade, cucumber",vegetable,0.0,10.2,0.0
"cucumber salad, cucumber",vegetable,1.0,5.0,0.0
"cucumber soda, cucumber",vegetable,0.0,0.85,0.0
"cucumbers in brine, cucumbers",vegetable,0.0,0.0,0.0
"soda, cucumber, cucumber",vegetable,0.0,3.1,0.0
"(pickled cucumber) pickled cucumber, (pickled cucumber)",vegetable,0.0,3.57,0.0
cucumbers,vegetable,0.84,3.8,0.0
"cucumber infused vinegar, cucumber",vegetable,0.0,13.3,0.0
"cucumber infused water, cucumber",vegetable,0.0,0.21,0.0
"cucumber sparkling water, cucumber",vegetable,0.0,0.0,0.0
"cucumber tonic water, cucumber",vegetable,0.0,5.0,0.0
"cucumber & mint lemonade, cucumber & mint",vegetable,0.0,8.4,0.0
"cucumber caffeinated sparkling water, cucumber",vegetable,0.0,0.0,0.0
"cucumber collagen infused water, cucumber",vegetable,2.0,0.6,0.0
"cucumber korean kim chee, cucumber",vegetable,0.0,3.57,0.0
"cucumber melon kombucha, cucumber melon",vegetable,0.28,3.1,0.0
"cucumber melon seltzer, cucumber melon",vegetable,0.0,0.0,0.0
"cucumber mint mixers, cucumber; mint",vegetable,0.0,0.85,0.0
"cucumber with citrus green tea, cucumber",vegetable,0.0,6.76,0.0
"knippa cucumber limeade, knippa cucumber",vegetable,0.0,9.7,0.0
"verday, chlorophyll water, cucumber, cucumber",vegetable,0.0,0.21,0.0
"organic cucumber glow cucumber & lemon juice blend, cucumber & lemon",vegetable,0.42,1.67,0.0
fresh cucumbers,vegetable,0.84,3.8,0.0
"beverage, cucumber",vegetable,0.0,3.1,0.0
brine cucumbers,vegetable,0.0,0.0,0.0
cucumber chips,vegetable,0.0,3.57,0.0
cucumber dip,vegetable,3.33,6.67,5.0
cucumber pickles,vegetable,0.0,3.57,0.0
cucumber salad,vegetable,0.0,12.9,0.0
asparagus,vegetable,2.35,3.53,0.0
"asparagus, raw",vegetable,2.2,3.88,0.12
"asparagus, canned, drained solids",vegetable,2.14,2.46,0.65
"asparagus, ns as to form, cooked",vegetable,2.3,4.04,2.86
"asparagus, canned, cooked, no added fat",vegetable,2.14,2.46,0.65
"asparagus, fresh, cooked, no added fat",vegetable,2.36,4.16,0.13
"asparagus, frozen, cooked, no added fat",vegetable,2.94,1.91,0.42
"soup, cream of asparagus, canned, condensed",vegetable,1.82,8.52,3.26
"asparagus, canned, no salt added, solids and liquids",vegetable,1.8,2.48,0.18
"asparagus, canned, regular pack, solids and liquids",vegetable,1.8,2.48,0.18
"asparagus, canned, cooked, fat added, ns as to fat type",vegetable,2.09,2.39,3.18
"asparagus, fresh, cooked, fat added, ns as to fat type",vegetable,2.3,4.04,2.86
"asparagus, frozen, cooked, fat added, ns as to fat type",vegetable,2.86,1.86,2.95
"asparagus medley, asparagus",vegetable,2.35,5.88,0.0
"asparagus pickled, asparagus",vegetable,0.0,5.0,0.0
"asparagus stir fry, asparagus",vegetable,1.04,5.21,0.0
"asparagus rotini with asparagus, roasted peppers, and vegan mozzarella, asparagus",vegetable,2.65,15.0,1.33
"asparagus cut spears in brine, asparagus",vegetable,1.67,2.5,0.0
fresh asparagus,vegetable,4.3,4.3,0.0
asparagus spears,vegetable,2.35,3.53,0.0
trimmed asparagus,vegetable,2.15,4.3,0.0
"organic, asparagus",vegetable,2.35,3.53,0.0
asparagus saute,vegetable,2.35,4.71,0.0
beef with soy-based sauce,protein,15.86,3.35,12.38
"margarine, industrial, soy and partially hydrogenated soy oil, use for baking, sauces and candy",fat,0.18,0.71,80.0
shrimp teriyaki,protein,21.62,3.34,1.56
chicken or turkey with teriyaki,protein,25.73,1.62,5.96
"hormel always tender, pork tenderloin, teriyaki-flavored",protein,18.2,4.63,3.07
"pasta with cream sauce and meat, home recipe",carb,6.14,16.69,7.87
"pasta with cream sauce and poultry, home recipe",carb,6.32,16.69,7.03
"pasta with cream sauce and added vegetables, from home recipe",carb,4.0,17.27,6.04
"pasta with cream sauce, home recipe",carb,4.03,16.85,7.7
"pasta with cream sauce and seafood, home recipe",carb,5.86,16.96,6.48
"pasta, whole grain, with cream sauce and meat, home recipe",carb,6.24,16.28,8.27
"pasta, whole grain, with cream sauce and poultry, home recipe",carb,6.42,16.28,7.44
"pasta, whole grain, with cream sauce, home recipe",carb,4.13,16.44,8.11
"pasta with cream sauce, meat, and added vegetables, home recipe",carb,6.12,17.04,6.52
"pasta with cream sauce, poultry, and added vegetables, home recipe",carb,6.3,17.04,5.68
"pasta, whole grain, with cream sauce and seafood, home recipe",carb,5.95,16.55,6.89
"pasta with cream sauce and poultry, ready-to-heat",carb,6.18,16.33,8.69
"pasta with cream sauce, seafood, and added vegetables, home recipe",carb,5.83,17.3,5.13
"pasta, whole grain, with cream sauce, meat, and added vegetables, home recipe",carb,6.22,16.63,6.92
"pasta, whole grain, with cream sauce, poultry, and added vegetables, home recipe",carb,6.39,16.63,6.08
"pasta with cream sauce, ready-to-heat",carb,3.94,16.49,9.35
"pasta with cream sauce and meat, ready-to-heat",carb,6.01,16.33,9.51
"pasta with cream sauce and seafood, ready-to-heat",carb,5.73,16.59,8.15
"pasta with cream sauce, seafood, and added vegetables, ready-to-heat",carb,5.71,16.93,6.83
"pasta, whole grain, with cream sauce and meat, ready-to-heat",carb,6.11,15.93,9.9
"pasta, whole grain, with cream sauce and poultry, ready-to-heat",carb,6.28,15.93,9.09
"pasta, whole grain, with cream sauce, ready-to-heat",carb,4.04,16.09,9.74
"pasta, whole grain, with cream sauce, seafood, and added vegetables, home recipe",carb,5.93,16.89,5.54
"pasta with cream sauce and added vegetables, ready-to-heat",carb,3.92,16.9,7.72
"pasta with cream sauce, meat, and added vegetables, ready-to-heat",carb,5.99,16.67,8.19
"pasta with cream sauce, poultry, and added vegetables, ready-to-heat",carb,6.16,16.67,7.37
"pasta, whole grain, with cream sauce and seafood, ready-to-heat",carb,5.82,16.19,8.55
"pasta, whole grain, with cream sauce, and added vegetables, ready-to-heat",carb,4.01,16.5,8.12
"chicken or turkey fricassee, no sauce, no potatoes, puerto rican style",protein,25.15,0.0,11.01
"beef, cow head",protein,25.9,0.0,16.46
"sauce, ready-to-serve, pepper or hot",vegetable,0.51,1.75,0.37
"chicken ""wings"" with hot sauce, from precooked",protein,17.57,2.5,19.48
"chicken ""wings"" with hot sauce, from other sources",protein,17.02,5.08,19.98
"sauce, chili, peppers, hot, immature green, canned",vegetable,0.7,5.0,0.1
"sauce, peppers, hot, chili, mature red, canned",vegetable,0.9,3.9,0.6
"chicken ""wings"" with hot sauce, from fast food / restaurant",protein,16.78,6.18,20.2
